S.N,Contract_No,Stock_Symbol,Buyer_Broker,Seller_Broker,Quantity,Rate,Amount,Date
1,2019101401003354,SRBL,1,43,192,236,45312.00,2019-10-14 16:24:48.929398
2,2019101401003355,SRBL,1,43,200,236,47200.00,2019-10-14 16:24:48.929398
3,2019101401003356,SRBL,13,43,200,236,47200.00,2019-10-14 16:24:48.929398
4,2019101401003357,SRBL,20,43,158,236,37288.00,2019-10-14 16:24:48.929398
5,2019101401003358,MERO,34,34,10,556,5560.00,2019-10-14 16:24:48.929398
6,2019101401003359,RHPL,39,11,200,158,31600.00,2019-10-14 16:24:48.929398
7,2019101401003360,CBBL,42,19,300,969,290700.00,2019-10-14 16:24:48.929398
8,2019101401003361,SANIMA,45,22,15,304,4560.00,2019-10-14 16:24:48.929398
9,2019101401003362,PRVU,55,4,132,266,35112.00,2019-10-14 16:24:48.929398
10,2019101401003363,SJCL,7,21,20,167,3340.00,2019-10-14 16:24:48.929398
11,2019101401003364,UPPER,33,45,10,236,2360.00,2019-10-14 16:24:48.929398
12,2019101401003365,GFCL,28,11,240,134,32160.00,2019-10-14 16:24:48.929398
13,2019101401003366,GFCL,28,11,1000,134,134000.00,2019-10-14 16:24:48.929398
14,2019101401003367,CCBL,45,58,13,154,2002.00,2019-10-14 16:24:48.929398
15,2019101401003368,CCBL,45,14,17,155,2635.00,2019-10-14 16:24:48.929398
16,2019101401003369,NLG,6,25,11,543,5973.00,2019-10-14 16:24:48.929398
17,2019101401003370,JFL,8,32,604,193,116572.00,2019-10-14 16:24:48.929398
18,2019101401003371,PLIC,28,58,100,321,32100.00,2019-10-14 16:24:48.929398
19,2019101401003372,SHIVM,7,22,50,505,25250.00,2019-10-14 16:24:48.929398
20,2019101401003373,CZBIL,32,5,25,195,4875.00,2019-10-14 16:24:48.929398
21,2019101401003374,CZBIL,41,5,50,195,9750.00,2019-10-14 16:24:48.929398
22,2019101401003375,CZBIL,49,5,925,194,179450.00,2019-10-14 16:24:48.929398
23,2019101401003376,GFCL,59,11,950,133,126350.00,2019-10-14 16:24:48.929398
24,2019101401003377,NCCB,8,55,20,198,3960.00,2019-10-14 16:24:48.929398
25,2019101401003378,PIC,8,58,32,364,11648.00,2019-10-14 16:24:48.929398
26,2019101401003379,PIC,8,50,18,367,6606.00,2019-10-14 16:24:48.929398
27,2019101401003380,NABIL,49,1,100,765,76500.00,2019-10-14 16:24:48.929398
28,2019101401003381,NADEP,28,58,200,399,79800.00,2019-10-14 16:24:48.929398
29,2019101401003382,NADEP,29,58,50,399,19950.00,2019-10-14 16:24:48.929398
30,2019101401003383,NADEP,42,58,280,398,111440.00,2019-10-14 16:24:48.929398
31,2019101401003384,NADEP,26,58,50,398,19900.00,2019-10-14 16:24:48.929398
32,2019101401003385,NADEP,39,58,30,398,11940.00,2019-10-14 16:24:48.929398
33,2019101401003386,NADEP,57,58,490,396,194040.00,2019-10-14 16:24:48.929398
34,2019101401003387,LBL,34,42,10,214,2140.00,2019-10-14 16:24:48.929398
35,2019101401003388,SJCL,52,58,650,168,109200.00,2019-10-14 16:24:48.929398
36,2019101401003389,SJCL,52,46,100,168,16800.00,2019-10-14 16:24:48.929398
37,2019101401003390,GFCL,59,11,550,133,73150.00,2019-10-14 16:24:48.929398
38,2019101401003391,MNBBL,1,6,27,304,8208.00,2019-10-14 16:24:48.929398
39,2019101401003392,MNBBL,55,6,312,303,94536.00,2019-10-14 16:24:48.929398
40,2019101401003393,MNBBL,41,6,21,303,6363.00,2019-10-14 16:24:48.929398
41,2019101401003394,MNBBL,7,6,140,303,42420.00,2019-10-14 16:24:48.929398
42,2019101401003395,NICA,35,13,19,378,7182.00,2019-10-14 16:24:48.929398
43,2019101401003396,SCB,39,19,20,570,11400.00,2019-10-14 16:24:48.929398
44,2019101401003397,SCB,36,19,16,570,9120.00,2019-10-14 16:24:48.929398
45,2019101401003398,RSDC,26,58,62,322,19964.00,2019-10-14 16:24:48.929398
46,2019101401003399,LICN,56,49,637,980,624260.00,2019-10-14 16:24:48.929398
47,2019101401003400,NBL,33,33,190,314,59660.00,2019-10-14 16:24:48.929398
48,2019101401003401,NBL,33,58,10,315,3150.00,2019-10-14 16:24:48.929398
