S.N,Contract_No,Stock_Symbol,Buyer_Broker,Seller_Broker,Quantity,Rate,Amount,Date
1,2019111801004893,GLICL,54,45,20,355,7100.00,2019-11-18 15:02:44.516023
2,2019111801004894,SMFBS,33,57,10,800,8000.00,2019-11-18 15:02:44.516023
3,2019111801004895,UPPER,25,22,10,227,2270.00,2019-11-18 15:02:44.516023
4,2019111801004896,UPPER,25,45,10,228,2280.00,2019-11-18 15:02:44.516023
5,2019111801004897,PLIC,28,28,10,312,3120.00,2019-11-18 15:02:44.516023
6,2019111801004898,NMB,49,32,20,386,7720.00,2019-11-18 15:02:44.516023
7,2019111801004899,NMB,3,32,100,386,38600.00,2019-11-18 15:02:44.516023
8,2019111801004900,NMB,57,32,100,386,38600.00,2019-11-18 15:02:44.516023
9,2019111801004901,MBL,22,22,901,223,200923.00,2019-11-18 15:02:44.516023
10,2019111801004902,KSBBL,35,38,50,134,6700.00,2019-11-18 15:02:44.516023
11,2019111801004903,NLG,7,49,40,526,21040.00,2019-11-18 15:02:44.516023
12,2019111801004904,NLG,5,49,30,526,15780.00,2019-11-18 15:02:44.516023
13,2019111801004905,SBI,19,42,100,391,39100.00,2019-11-18 15:02:44.516023
14,2019111801004906,NIBPO,7,47,212,390,82680.00,2019-11-18 15:02:44.516023
15,2019111801004907,NIB,16,39,17,418,7106.00,2019-11-18 15:02:44.516023
16,2019111801004908,NIB,49,39,50,418,20900.00,2019-11-18 15:02:44.516023
17,2019111801004909,NIB,16,39,165,418,68970.00,2019-11-18 15:02:44.516023
18,2019111801004910,UPPER,8,48,220,226,49720.00,2019-11-18 15:02:44.516023
19,2019111801004911,NIB,16,34,475,419,199025.00,2019-11-18 15:02:44.516023
20,2019111801004912,NIB,16,57,233,419,97627.00,2019-11-18 15:02:44.516023
21,2019111801004913,NIB,16,42,76,420,31920.00,2019-11-18 15:02:44.516023
22,2019111801004914,NIB,16,42,10,420,4200.00,2019-11-18 15:02:44.516023
23,2019111801004915,NIL,45,45,10,378,3780.00,2019-11-18 15:02:44.516023
