S.N,Contract_No,Stock_Symbol,Buyer_Broker,Seller_Broker,Quantity,Rate,Amount,Date
1,2019102201003164,GMFBS,32,7,190,447,84930.00,2019-10-22 15:04:48.621725
2,2019102201003165,GMFBS,32,7,210,447,93870.00,2019-10-22 15:04:48.621725
3,2019102201003166,GMFBS,57,7,10,447,4470.00,2019-10-22 15:04:48.621725
4,2019102201003167,NMFBS,49,44,23,1696,39008.00,2019-10-22 15:04:48.621725
5,2019102201003168,EBL,28,58,180,545,98100.00,2019-10-22 15:04:48.621725
6,2019102201003169,EBL,28,43,400,546,218400.00,2019-10-22 15:04:48.621725
7,2019102201003170,HBL,14,45,78,490,38220.00,2019-10-22 15:04:48.621725
8,2019102201003171,NBB,25,42,134,210,28140.00,2019-10-22 15:04:48.621725
9,2019102201003172,RHPL,19,48,20,170,3400.00,2019-10-22 15:04:48.621725
10,2019102201003173,GBBL,39,4,20,211,4220.00,2019-10-22 15:04:48.621725
11,2019102201003174,NIL,52,55,90,355,31950.00,2019-10-22 15:04:48.621725
12,2019102201003175,NIL,11,55,30,354,10620.00,2019-10-22 15:04:48.621725
13,2019102201003176,NIL,45,55,300,354,106200.00,2019-10-22 15:04:48.621725
14,2019102201003177,NIL,52,55,500,353,176500.00,2019-10-22 15:04:48.621725
15,2019102201003178,NIL,51,55,29,352,10208.00,2019-10-22 15:04:48.621725
16,2019102201003179,NIL,49,55,51,352,17952.00,2019-10-22 15:04:48.621725
17,2019102201003180,NIL,14,55,20,352,7040.00,2019-10-22 15:04:48.621725
18,2019102201003181,NIL,36,55,100,352,35200.00,2019-10-22 15:04:48.621725
19,2019102201003182,NIL,32,55,120,351,42120.00,2019-10-22 15:04:48.621725
20,2019102201003183,NIL,25,55,47,351,16497.00,2019-10-22 15:04:48.621725
21,2019102201003184,UPPER,58,33,412,236,97232.00,2019-10-22 15:04:48.621725
22,2019102201003185,CEFL,52,52,10,111,1110.00,2019-10-22 15:04:48.621725
23,2019102201003186,SHL,11,57,100,207,20700.00,2019-10-22 15:04:48.621725
24,2019102201003187,SHL,39,57,200,207,41400.00,2019-10-22 15:04:48.621725
25,2019102201003188,SHL,34,57,155,207,32085.00,2019-10-22 15:04:48.621725
26,2019102201003189,SHL,51,57,100,207,20700.00,2019-10-22 15:04:48.621725
27,2019102201003190,SHL,28,57,200,207,41400.00,2019-10-22 15:04:48.621725
28,2019102201003191,SHL,58,57,140,207,28980.00,2019-10-22 15:04:48.621725
29,2019102201003192,NBB,41,33,500,211,105500.00,2019-10-22 15:04:48.621725
30,2019102201003193,PCBL,53,53,10,267,2670.00,2019-10-22 15:04:48.621725
31,2019102201003194,CZBIL,40,48,50,196,9800.00,2019-10-22 15:04:48.621725
32,2019102201003195,NIB,29,42,23,441,10143.00,2019-10-22 15:04:48.621725
33,2019102201003196,SBL,33,6,81,289,23409.00,2019-10-22 15:04:48.621725
34,2019102201003197,SBL,26,6,60,288,17280.00,2019-10-22 15:04:48.621725
35,2019102201003198,SBL,33,6,38,288,10944.00,2019-10-22 15:04:48.621725
36,2019102201003199,PRVU,58,52,500,264,132000.00,2019-10-22 15:04:48.621725
37,2019102201003200,SJCL,55,28,10,168,1680.00,2019-10-22 15:04:48.621725
38,2019102201003201,LBL,34,42,30,217,6510.00,2019-10-22 15:04:48.621725
39,2019102201003202,HBL,43,45,10,494,4940.00,2019-10-22 15:04:48.621725
40,2019102201003203,SHIVM,34,50,300,484,145200.00,2019-10-22 15:04:48.621725
41,2019102201003204,RHPL,19,42,10,169,1690.00,2019-10-22 15:04:48.621725
42,2019102201003205,GLICL,25,54,340,359,122060.00,2019-10-22 15:04:48.621725
43,2019102201003206,PRVU,58,45,500,264,132000.00,2019-10-22 15:04:48.621725
44,2019102201003207,NICA,35,55,698,390,272220.00,2019-10-22 15:04:48.621725
45,2019102201003208,NICA,35,43,150,390,58500.00,2019-10-22 15:04:48.621725
46,2019102201003209,MBL,14,48,124,225,27900.00,2019-10-22 15:04:48.621725
47,2019102201003210,MBL,14,42,76,226,17176.00,2019-10-22 15:04:48.621725
48,2019102201003211,GLBSL,32,7,10,420,4200.00,2019-10-22 15:04:48.621725
49,2019102201003212,SJCL,55,42,10,168,1680.00,2019-10-22 15:04:48.621725
50,2019102201003213,ADBL,21,57,17,411,6987.00,2019-10-22 15:04:48.621725
51,2019102201003214,ADBL,6,57,483,411,198513.00,2019-10-22 15:04:48.621725
52,2019102201003215,NICA,46,8,13,391,5083.00,2019-10-22 15:04:48.621725
53,2019102201003216,SJCL,10,32,10,170,1700.00,2019-10-22 15:04:48.621725
54,2019102201003217,UPPER,19,26,50,235,11750.00,2019-10-22 15:04:48.621725
