S.N,Contract_No,Stock_Symbol,Buyer_Broker,Seller_Broker,Quantity,Rate,Amount,Date
1,2019112501005089,PMHPL,42,38,10,77,770.00,2019-11-25 16:17:11.765165
2,2019112501005090,PPCL,36,51,10,102,1020.00,2019-11-25 16:17:11.765165
3,2019112501005091,PPCL,36,35,10,102,1020.00,2019-11-25 16:17:11.765165
4,2019112501005092,NMFBS,10,4,19,1755,33345.00,2019-11-25 16:17:11.765165
5,2019112501005093,CBBL,45,7,20,973,19460.00,2019-11-25 16:17:11.765165
6,2019112501005094,MBL,14,6,378,215,81270.00,2019-11-25 16:17:11.765165
7,2019112501005095,SJCL,36,38,20,153,3060.00,2019-11-25 16:17:11.765165
8,2019112501005096,RHPL,57,38,40,163,6520.00,2019-11-25 16:17:11.765165
9,2019112501005097,CHCL,6,52,21,352,7392.00,2019-11-25 16:17:11.765165
10,2019112501005098,CHCL,36,52,79,352,27808.00,2019-11-25 16:17:11.765165
11,2019112501005099,NLG,25,43,15,496,7440.00,2019-11-25 16:17:11.765165
12,2019112501005100,NBL,10,17,122,316,38552.00,2019-11-25 16:17:11.765165
13,2019112501005101,NBL,39,17,300,316,94800.00,2019-11-25 16:17:11.765165
14,2019112501005102,NBL,38,17,500,316,158000.00,2019-11-25 16:17:11.765165
15,2019112501005103,NMFBS,33,32,24,1780,42720.00,2019-11-25 16:17:11.765165
16,2019112501005104,GBLBS,8,50,100,291,29100.00,2019-11-25 16:17:11.765165
17,2019112501005105,NMB,59,11,500,379,189500.00,2019-11-25 16:17:11.765165
18,2019112501005106,NMB,21,11,300,379,113700.00,2019-11-25 16:17:11.765165
19,2019112501005107,NMB,6,11,30,379,11370.00,2019-11-25 16:17:11.765165
20,2019112501005108,SJCL,36,38,20,153,3060.00,2019-11-25 16:17:11.765165
21,2019112501005109,PCBL,38,43,100,272,27200.00,2019-11-25 16:17:11.765165
22,2019112501005110,PCBL,16,43,88,271,23848.00,2019-11-25 16:17:11.765165
23,2019112501005111,PCBL,42,43,200,271,54200.00,2019-11-25 16:17:11.765165
24,2019112501005112,PCBL,29,43,600,271,162600.00,2019-11-25 16:17:11.765165
25,2019112501005113,PCBL,51,43,50,271,13550.00,2019-11-25 16:17:11.765165
26,2019112501005114,PCBL,45,43,50,271,13550.00,2019-11-25 16:17:11.765165
27,2019112501005115,PCBL,25,43,200,271,54200.00,2019-11-25 16:17:11.765165
28,2019112501005116,PCBL,25,43,100,271,27100.00,2019-11-25 16:17:11.765165
29,2019112501005117,PCBL,43,43,1000,271,271000.00,2019-11-25 16:17:11.765165
30,2019112501005118,PCBL,56,43,100,271,27100.00,2019-11-25 16:17:11.765165
31,2019112501005119,PCBL,34,43,200,271,54200.00,2019-11-25 16:17:11.765165
32,2019112501005120,PCBL,38,43,82,271,22222.00,2019-11-25 16:17:11.765165
33,2019112501005121,ALBSL,58,17,130,391,50830.00,2019-11-25 16:17:11.765165
34,2019112501005122,ALBSL,55,17,50,386,19300.00,2019-11-25 16:17:11.765165
35,2019112501005123,ALBSL,33,17,80,386,30880.00,2019-11-25 16:17:11.765165
36,2019112501005124,STC,40,59,30,1327,39810.00,2019-11-25 16:17:11.765165
37,2019112501005125,HDL,58,53,170,1740,295800.00,2019-11-25 16:17:11.765165
38,2019112501005126,NABIL,49,8,50,728,36400.00,2019-11-25 16:17:11.765165
39,2019112501005127,NABIL,22,8,50,728,36400.00,2019-11-25 16:17:11.765165
40,2019112501005128,NABIL,44,8,25,728,18200.00,2019-11-25 16:17:11.765165
41,2019112501005129,NABIL,22,8,30,728,21840.00,2019-11-25 16:17:11.765165
42,2019112501005130,SBL,45,1,100,277,27700.00,2019-11-25 16:17:11.765165
43,2019112501005131,SIL,6,59,584,364,212576.00,2019-11-25 16:17:11.765165
44,2019112501005132,SPARS,34,38,10,508,5080.00,2019-11-25 16:17:11.765165
45,2019112501005133,MLBL,32,17,66,170,11220.00,2019-11-25 16:17:11.765165
46,2019112501005134,MLBL,34,17,34,170,5780.00,2019-11-25 16:17:11.765165
47,2019112501005135,SBL,34,17,50,280,14000.00,2019-11-25 16:17:11.765165
48,2019112501005136,GGBSL,58,10,10,630,6300.00,2019-11-25 16:17:11.765165
49,2019112501005137,RBCL,17,28,10,7901,79010.00,2019-11-25 16:17:11.765165
50,2019112501005138,KBL,25,11,25,180,4500.00,2019-11-25 16:17:11.765165
51,2019112501005139,MBL,14,35,500,215,107500.00,2019-11-25 16:17:11.765165
52,2019112501005140,GBLBS,25,28,10,295,2950.00,2019-11-25 16:17:11.765165
53,2019112501005141,NGPL,53,17,289,108,31212.00,2019-11-25 16:17:11.765165
54,2019112501005142,KPCL,56,59,10,83,830.00,2019-11-25 16:17:11.765165
55,2019112501005143,KPCL,39,59,150,81,12150.00,2019-11-25 16:17:11.765165
