S.N,Contract_No,Stock_Symbol,Buyer_Broker,Seller_Broker,Quantity,Rate,Amount,Date
1,2019110501003906,EBL,53,58,80,557,44560.00,2019-11-06 08:20:42.914023
2,2019110501003907,FOWAD,33,33,10,1330,13300.00,2019-11-06 08:20:42.914023
3,2019110501003908,GILB,22,34,72,870,62640.00,2019-11-06 08:20:42.914023
4,2019110501003909,MERO,22,57,10,562,5620.00,2019-11-06 08:20:42.914023
5,2019110501003910,MERO,45,57,50,562,28100.00,2019-11-06 08:20:42.914023
6,2019110501003911,SHIVM,53,52,150,484,72600.00,2019-11-06 08:20:42.914023
7,2019110501003912,SPDL,45,45,10,72,720.00,2019-11-06 08:20:42.914023
8,2019110501003913,NLICL,52,53,10,425,4250.00,2019-11-06 08:20:42.914023
9,2019110501003914,MSLB,39,36,26,855,22230.00,2019-11-06 08:20:42.914023
10,2019110501003915,GBLBS,14,51,15,310,4650.00,2019-11-06 08:20:42.914023
11,2019110501003916,SANIMA,4,11,334,304,101536.00,2019-11-06 08:20:42.914023
12,2019110501003917,PPCL,39,58,140,97,13580.00,2019-11-06 08:20:42.914023
13,2019110501003918,CBL,40,22,120,142,17040.00,2019-11-06 08:20:42.914023
14,2019110501003919,NLICL,42,53,100,422,42200.00,2019-11-06 08:20:42.914023
15,2019110501003920,NLICL,28,53,100,421,42100.00,2019-11-06 08:20:42.914023
16,2019110501003921,NLICL,58,53,20,421,8420.00,2019-11-06 08:20:42.914023
17,2019110501003922,NLICL,1,53,50,420,21000.00,2019-11-06 08:20:42.914023
18,2019110501003923,NLICL,6,53,541,420,227220.00,2019-11-06 08:20:42.914023
19,2019110501003924,MERO,6,35,50,563,28150.00,2019-11-06 08:20:42.914023
20,2019110501003925,ICFC,8,25,100,160,16000.00,2019-11-06 08:20:42.914023
21,2019110501003926,NBL,33,22,20,315,6300.00,2019-11-06 08:20:42.914023
22,2019110501003927,MERO,32,41,30,562,16860.00,2019-11-06 08:20:42.914023
23,2019110501003928,MERO,25,41,30,562,16860.00,2019-11-06 08:20:42.914023
24,2019110501003929,CLBSL,17,45,20,470,9400.00,2019-11-06 08:20:42.914023
25,2019110501003930,MLBL,40,57,173,211,36503.00,2019-11-06 08:20:42.914023
26,2019110501003931,MLBL,1,57,300,211,63300.00,2019-11-06 08:20:42.914023
27,2019110501003932,MLBL,14,57,27,211,5697.00,2019-11-06 08:20:42.914023
28,2019110501003933,NCCB,44,54,500,204,102000.00,2019-11-06 08:20:42.914023
29,2019110501003934,NABIL,58,44,10,770,7700.00,2019-11-06 08:20:42.914023
30,2019110501003935,CHCL,58,39,19,456,8664.00,2019-11-06 08:20:42.914023
31,2019110501003936,CHCL,58,39,31,458,14198.00,2019-11-06 08:20:42.914023
32,2019110501003937,NLICL,22,35,10,431,4310.00,2019-11-06 08:20:42.914023
33,2019110501003938,SRBL,39,7,1598,208,332384.00,2019-11-06 08:20:42.914023
34,2019110501003939,SRBL,14,7,100,208,20800.00,2019-11-06 08:20:42.914023
35,2019110501003940,SRBL,51,7,802,208,166816.00,2019-11-06 08:20:42.914023
36,2019110501003941,GRDBL,43,57,10,104,1040.00,2019-11-06 08:20:42.914023
37,2019110501003942,SICL,4,34,30,728,21840.00,2019-11-06 08:20:42.914023
38,2019110501003943,SICL,20,34,70,727,50890.00,2019-11-06 08:20:42.914023
39,2019110501003944,SWBBL,33,47,20,909,18180.00,2019-11-06 08:20:42.914023
