S.N,Contract_No,Stock_Symbol,Buyer_Broker,Seller_Broker,Quantity,Rate,Amount,Date
538,2019112001004751,SPDL,45,45,88,85,7480.00,2019-11-21 10:51:37.719265
539,2019112001004752,AKJCL,35,45,30,55,1650.00,2019-11-21 10:51:37.719265
540,2019112001004753,MERO,44,33,85,418,35530.00,2019-11-21 10:51:37.719265
541,2019112001004754,MERO,29,33,29,417,12093.00,2019-11-21 10:51:37.719265
542,2019112001004755,MERO,14,33,150,417,62550.00,2019-11-21 10:51:37.719265
543,2019112001004756,MERO,45,33,36,417,15012.00,2019-11-21 10:51:37.719265
544,2019112001004757,SABSL,36,1,75,546,40950.00,2019-11-21 10:51:37.719265
545,2019112001004758,NMB,56,41,100,387,38700.00,2019-11-21 10:51:37.719265
546,2019112001004759,NMB,56,4,124,387,47988.00,2019-11-21 10:51:37.719265
547,2019112001004760,SABSL,36,36,100,546,54600.00,2019-11-21 10:51:37.719265
548,2019112001004761,NIL,13,43,50,377,18850.00,2019-11-21 10:51:37.719265
549,2019112001004762,API,25,41,50,105,5250.00,2019-11-21 10:51:37.719265
550,2019112001004763,JBBL,39,56,10,162,1620.00,2019-11-21 10:51:37.719265
551,2019112001004764,PRVU,33,53,100,230,23000.00,2019-11-21 10:51:37.719265
552,2019112001004765,PRVU,33,32,30,230,6900.00,2019-11-21 10:51:37.719265
553,2019112001004766,PRVU,33,34,110,230,25300.00,2019-11-21 10:51:37.719265
554,2019112001004767,PRVU,33,14,200,230,46000.00,2019-11-21 10:51:37.719265
555,2019112001004768,PRVU,33,50,73,230,16790.00,2019-11-21 10:51:37.719265
556,2019112001004769,SABSL,36,42,10,546,5460.00,2019-11-21 10:51:37.719265
557,2019112001004770,NBB,1,58,255,204,52020.00,2019-11-21 10:51:37.719265
558,2019112001004771,CBBL,45,58,200,973,194600.00,2019-11-21 10:51:37.719265
559,2019112001004772,NBB,29,58,200,204,40800.00,2019-11-21 10:51:37.719265
560,2019112001004773,JOSHI,3,19,110,61,6710.00,2019-11-21 10:51:37.719265
561,2019112001004774,NBL,14,49,62,317,19654.00,2019-11-21 10:51:37.719265
562,2019112001004775,PCBL,40,57,14,275,3850.00,2019-11-21 10:51:37.719265
563,2019112001004776,GBBL,1,58,37,225,8325.00,2019-11-21 10:51:37.719265
564,2019112001004777,GBBL,45,58,64,225,14400.00,2019-11-21 10:51:37.719265
565,2019112001004778,UPCL,52,57,20,74,1480.00,2019-11-21 10:51:37.719265
566,2019112001004779,RSDC,57,41,10,292,2920.00,2019-11-21 10:51:37.719265
567,2019112001004780,RSDC,40,41,10,291,2910.00,2019-11-21 10:51:37.719265
568,2019112001004781,RSDC,6,41,60,291,17460.00,2019-11-21 10:51:37.719265
569,2019112001004782,RSDC,42,41,50,291,14550.00,2019-11-21 10:51:37.719265
570,2019112001004783,RMDC,22,43,200,594,118800.00,2019-11-21 10:51:37.719265
