S.N,Contract_No,Stock_Symbol,Buyer_Broker,Seller_Broker,Quantity,Rate,Amount,Date
1,2019110401004033,DBBL,56,7,23,124,2852.00,2019-11-04 15:42:21.599917
2,2019110401004034,DBBL,17,7,81,124,10044.00,2019-11-04 15:42:21.599917
3,2019110401004035,DBBL,7,7,1096,124,135904.00,2019-11-04 15:42:21.599917
4,2019110401004036,JFL,6,28,500,192,96000.00,2019-11-04 15:42:21.599917
5,2019110401004037,JFL,1,28,500,192,96000.00,2019-11-04 15:42:21.599917
6,2019110401004038,NLICL,22,42,10,427,4270.00,2019-11-04 15:42:21.599917
7,2019110401004039,LGIL,44,57,90,316,28440.00,2019-11-04 15:42:21.599917
8,2019110401004040,PIC,42,35,20,359,7180.00,2019-11-04 15:42:21.599917
9,2019110401004041,PIC,42,34,10,360,3600.00,2019-11-04 15:42:21.599917
10,2019110401004042,NIL,39,59,10,377,3770.00,2019-11-04 15:42:21.599917
11,2019110401004043,PPCL,45,35,30,96,2880.00,2019-11-04 15:42:21.599917
12,2019110401004044,NMBMF,50,18,10,493,4930.00,2019-11-04 15:42:21.599917
13,2019110401004045,NMBMF,1,18,50,492,24600.00,2019-11-04 15:42:21.599917
14,2019110401004046,NMBMF,41,18,100,491,49100.00,2019-11-04 15:42:21.599917
15,2019110401004047,NMBMF,37,18,20,490,9800.00,2019-11-04 15:42:21.599917
16,2019110401004048,CBL,43,38,448,142,63616.00,2019-11-04 15:42:21.599917
17,2019110401004049,NHPC,20,34,1435,53,76055.00,2019-11-04 15:42:21.599917
18,2019110401004050,NBB,21,42,33,207,6831.00,2019-11-04 15:42:21.599917
19,2019110401004051,MEGA,37,35,500,188,94000.00,2019-11-04 15:42:21.599917
20,2019110401004052,MEGA,29,35,30,188,5640.00,2019-11-04 15:42:21.599917
21,2019110401004053,MEGA,32,35,870,188,163560.00,2019-11-04 15:42:21.599917
22,2019110401004054,MEGA,20,11,100,189,18900.00,2019-11-04 15:42:21.599917
23,2019110401004055,CHCL,58,40,70,460,32200.00,2019-11-04 15:42:21.599917
24,2019110401004056,CHCL,58,40,30,460,13800.00,2019-11-04 15:42:21.599917
25,2019110401004057,SJCL,10,50,10,171,1710.00,2019-11-04 15:42:21.599917
26,2019110401004058,HBL,1,22,15,494,7410.00,2019-11-04 15:42:21.599917
27,2019110401004059,NBL,52,46,990,315,311850.00,2019-11-04 15:42:21.599917
28,2019110401004060,NBL,52,1,500,315,157500.00,2019-11-04 15:42:21.599917
29,2019110401004061,NBL,52,48,15,315,4725.00,2019-11-04 15:42:21.599917
30,2019110401004062,NBL,52,48,45,315,14175.00,2019-11-04 15:42:21.599917
31,2019110401004063,NBL,52,22,450,315,141750.00,2019-11-04 15:42:21.599917
32,2019110401004064,PIC,16,59,100,360,36000.00,2019-11-04 15:42:21.599917
33,2019110401004065,PIC,16,6,100,360,36000.00,2019-11-04 15:42:21.599917
34,2019110401004066,PIC,16,22,420,360,151200.00,2019-11-04 15:42:21.599917
35,2019110401004067,PIC,16,45,18,360,6480.00,2019-11-04 15:42:21.599917
36,2019110401004068,NICL,25,25,20,265,5300.00,2019-11-04 15:42:21.599917
37,2019110401004069,CBL,43,49,10,143,1430.00,2019-11-04 15:42:21.599917
38,2019110401004070,MPFL,34,52,50,101,5050.00,2019-11-04 15:42:21.599917
39,2019110401004071,ILBS,48,35,10,438,4380.00,2019-11-04 15:42:21.599917
40,2019110401004072,SANIMA,56,56,50,306,15300.00,2019-11-04 15:42:21.599917
41,2019110401004073,SANIMA,36,56,50,305,15250.00,2019-11-04 15:42:21.599917
