S.N,Contract_No,Stock_Symbol,Buyer_Broker,Seller_Broker,Quantity,Rate,Amount,Date
1,2019111901004191,NBB,58,32,10,206,2060.00,2019-11-19 15:10:17.345153
2,2019111901004192,NLICL,50,59,100,424,42400.00,2019-11-19 15:10:17.345153
3,2019111901004193,BPCL,21,48,28,347,9716.00,2019-11-19 15:10:17.345153
4,2019111901004194,BPCL,35,48,20,347,6940.00,2019-11-19 15:10:17.345153
5,2019111901004195,BPCL,37,48,10,347,3470.00,2019-11-19 15:10:17.345153
6,2019111901004196,BPCL,51,48,50,347,17350.00,2019-11-19 15:10:17.345153
7,2019111901004197,BPCL,54,48,150,347,52050.00,2019-11-19 15:10:17.345153
8,2019111901004198,BPCL,38,48,100,347,34700.00,2019-11-19 15:10:17.345153
9,2019111901004199,BPCL,1,48,41,347,14227.00,2019-11-19 15:10:17.345153
10,2019111901004200,MEGA,43,38,10,185,1850.00,2019-11-19 15:10:17.345153
11,2019111901004201,NNLB,1,38,35,456,15960.00,2019-11-19 15:10:17.345153
12,2019111901004202,SJCL,45,56,10,157,1570.00,2019-11-19 15:10:17.345153
13,2019111901004203,NLICL,5,56,100,423,42300.00,2019-11-19 15:10:17.345153
14,2019111901004204,NLICL,38,56,726,422,306372.00,2019-11-19 15:10:17.345153
15,2019111901004205,MERO,26,43,25,426,10650.00,2019-11-19 15:10:17.345153
16,2019111901004206,NBL,49,5,20,317,6340.00,2019-11-19 15:10:17.345153
17,2019111901004207,PLIC,28,28,10,310,3100.00,2019-11-19 15:10:17.345153
18,2019111901004208,CHCL,25,22,10,355,3550.00,2019-11-19 15:10:17.345153
19,2019111901004209,CCBL,32,57,200,162,32400.00,2019-11-19 15:10:17.345153
20,2019111901004210,PRVU,4,49,280,229,64120.00,2019-11-19 15:10:17.345153
21,2019111901004211,SCB,41,26,40,548,21920.00,2019-11-19 15:10:17.345153
22,2019111901004212,HGI,48,53,10,244,2440.00,2019-11-19 15:10:17.345153
23,2019111901004213,HGI,59,53,500,243,121500.00,2019-11-19 15:10:17.345153
24,2019111901004214,HGI,25,53,40,242,9680.00,2019-11-19 15:10:17.345153
25,2019111901004215,HGI,45,53,50,242,12100.00,2019-11-19 15:10:17.345153
26,2019111901004216,HGI,20,53,100,242,24200.00,2019-11-19 15:10:17.345153
27,2019111901004217,HGI,5,53,120,242,29040.00,2019-11-19 15:10:17.345153
28,2019111901004218,HGI,6,53,100,241,24100.00,2019-11-19 15:10:17.345153
29,2019111901004219,HGI,48,53,250,241,60250.00,2019-11-19 15:10:17.345153
30,2019111901004220,HGI,34,53,50,241,12050.00,2019-11-19 15:10:17.345153
31,2019111901004221,HGI,42,53,500,241,120500.00,2019-11-19 15:10:17.345153
32,2019111901004222,HGI,41,53,50,241,12050.00,2019-11-19 15:10:17.345153
33,2019111901004223,HGI,49,53,500,241,120500.00,2019-11-19 15:10:17.345153
