S.N,Contract_No,Stock_Symbol,Buyer_Broker,Seller_Broker,Quantity,Rate,Amount,Date
532,2019100201002238,HBL,44,25,25,499,12475.00,2019-10-02 16:32:25.951857
533,2019100201002239,HBL,14,25,267,498,132966.00,2019-10-02 16:32:25.951857
534,2019100201002240,SKBBL,39,5,495,910,450450.00,2019-10-02 16:32:25.951857
535,2019100201002241,GBLBS,7,17,30,320,9600.00,2019-10-02 16:32:25.951857
536,2019100201002242,GBLBS,22,17,40,320,12800.00,2019-10-02 16:32:25.951857
537,2019100201002243,GBLBS,8,17,500,320,160000.00,2019-10-02 16:32:25.951857
538,2019100201002244,JSLBB,57,11,40,956,38240.00,2019-10-02 16:32:25.951857
539,2019100201002245,JSLBB,48,11,10,955,9550.00,2019-10-02 16:32:25.951857
540,2019100201002246,RHPL,40,3,20,159,3180.00,2019-10-02 16:32:25.951857
541,2019100201002247,RHPL,40,3,20,159,3180.00,2019-10-02 16:32:25.951857
542,2019100201002248,HGI,34,33,450,265,119250.00,2019-10-02 16:32:25.951857
543,2019100201002249,ILBS,18,41,40,421,16840.00,2019-10-02 16:32:25.951857
544,2019100201002250,ILBS,38,41,20,420,8400.00,2019-10-02 16:32:25.951857
545,2019100201002251,ILBS,26,41,200,420,84000.00,2019-10-02 16:32:25.951857
546,2019100201002252,ILBS,53,41,40,419,16760.00,2019-10-02 16:32:25.951857
547,2019100201002253,ILBS,57,41,270,419,113130.00,2019-10-02 16:32:25.951857
548,2019100201002254,API,59,35,11,112,1232.00,2019-10-02 16:32:25.951857
549,2019100201002255,BOKL,32,11,57,260,14820.00,2019-10-02 16:32:25.951857
550,2019100201002256,BOKL,32,26,343,260,89180.00,2019-10-02 16:32:25.951857
551,2019100201002257,SCB,44,58,250,573,143250.00,2019-10-02 16:32:25.951857
552,2019100201002258,SCB,39,58,40,572,22880.00,2019-10-02 16:32:25.951857
553,2019100201002259,SMATA,41,45,149,533,79417.00,2019-10-02 16:32:25.951857
554,2019100201002260,SMATA,34,45,100,531,53100.00,2019-10-02 16:32:25.951857
555,2019100201002261,SLICL,58,5,14,263,3682.00,2019-10-02 16:32:25.951857
556,2019100201002262,BOKL,28,26,281,260,73060.00,2019-10-02 16:32:25.951857
557,2019100201002263,BOKL,28,45,719,260,186940.00,2019-10-02 16:32:25.951857
558,2019100201002264,BOKL,4,45,100,260,26000.00,2019-10-02 16:32:25.951857
559,2019100201002265,LBBL,14,32,220,173,38060.00,2019-10-02 16:32:25.951857
560,2019100201002266,SHIVM,17,19,100,510,51000.00,2019-10-02 16:32:25.951857
561,2019100201002267,SHIVM,34,19,50,510,25500.00,2019-10-02 16:32:25.951857
562,2019100201002268,CIT,39,38,25,1804,45100.00,2019-10-02 16:32:25.951857
