S.N,Contract_No,Stock_Symbol,Buyer_Broker,Seller_Broker,Quantity,Rate,Amount,Date
1,2019110701004929,GLICL,42,59,300,358,107400.00,2019-11-08 08:01:49.208601
2,2019110701004930,AKBSL,43,50,10,414,4140.00,2019-11-08 08:01:49.208601
3,2019110701004931,NLICL,42,56,30,423,12690.00,2019-11-08 08:01:49.208601
4,2019110701004932,NLICL,48,56,52,423,21996.00,2019-11-08 08:01:49.208601
5,2019110701004933,MEGA,58,3,288,185,53280.00,2019-11-08 08:01:49.208601
6,2019110701004934,MBL,35,38,90,225,20250.00,2019-11-08 08:01:49.208601
7,2019110701004935,PRVU,17,39,30,264,7920.00,2019-11-08 08:01:49.208601
8,2019110701004936,PRVU,29,39,500,264,132000.00,2019-11-08 08:01:49.208601
9,2019110701004937,PRVU,49,39,500,264,132000.00,2019-11-08 08:01:49.208601
10,2019110701004938,PRVU,54,39,1970,264,520080.00,2019-11-08 08:01:49.208601
11,2019110701004939,HURJA,42,50,100,101,10100.00,2019-11-08 08:01:49.208601
12,2019110701004940,NMB,28,43,130,347,45110.00,2019-11-08 08:01:49.208601
13,2019110701004941,NMB,28,5,70,347,24290.00,2019-11-08 08:01:49.208601
14,2019110701004942,KADBL,38,40,861,165,142065.00,2019-11-08 08:01:49.208601
15,2019110701004943,PRVU,54,25,30,264,7920.00,2019-11-08 08:01:49.208601
16,2019110701004944,PRVU,41,25,100,264,26400.00,2019-11-08 08:01:49.208601
17,2019110701004945,PRVU,33,25,65,264,17160.00,2019-11-08 08:01:49.208601
18,2019110701004946,NMB,17,5,400,347,138800.00,2019-11-08 08:01:49.208601
19,2019110701004947,HIDCL,42,44,30,133,3990.00,2019-11-08 08:01:49.208601
20,2019110701004948,HIDCL,39,44,200,133,26600.00,2019-11-08 08:01:49.208601
21,2019110701004949,HIDCL,39,44,500,132,66000.00,2019-11-08 08:01:49.208601
22,2019110701004950,HIDCL,45,44,100,132,13200.00,2019-11-08 08:01:49.208601
