S.N,Contract_No,Stock_Symbol,Buyer_Broker,Seller_Broker,Quantity,Rate,Amount,Date
1,2019100101003610,SBL,42,58,500,333,166500.00,2019-10-01 15:29:12.976467
2,2019100101003611,SBL,36,28,100,334,33400.00,2019-10-01 15:29:12.976467
3,2019100101003612,EIC,39,51,200,240,48000.00,2019-10-01 15:29:12.976467
4,2019100101003613,NLIC,45,28,100,770,77000.00,2019-10-01 15:29:12.976467
5,2019100101003614,SBI,36,13,10,409,4090.00,2019-10-01 15:29:12.976467
6,2019100101003615,NLICL,43,6,10,475,4750.00,2019-10-01 15:29:12.976467
7,2019100101003616,PLIC,21,16,100,329,32900.00,2019-10-01 15:29:12.976467
8,2019100101003617,HPPL,45,47,30,143,4290.00,2019-10-01 15:29:12.976467
9,2019100101003618,HPPL,45,16,30,145,4350.00,2019-10-01 15:29:12.976467
10,2019100101003619,HPPL,45,21,10,147,1470.00,2019-10-01 15:29:12.976467
11,2019100101003620,HPPL,45,36,10,149,1490.00,2019-10-01 15:29:12.976467
12,2019100101003621,AKPL,41,16,991,139,137749.00,2019-10-01 15:29:12.976467
13,2019100101003622,SHIVM,51,35,100,520,52000.00,2019-10-01 15:29:12.976467
14,2019100101003623,PIC,8,6,10,373,3730.00,2019-10-01 15:29:12.976467
15,2019100101003624,HDL,32,53,20,1452,29040.00,2019-10-01 15:29:12.976467
16,2019100101003625,HDL,26,53,30,1451,43530.00,2019-10-01 15:29:12.976467
17,2019100101003626,RHPL,58,44,200,159,31800.00,2019-10-01 15:29:12.976467
18,2019100101003627,SABSL,39,6,120,450,54000.00,2019-10-01 15:29:12.976467
19,2019100101003628,SBI,11,42,45,405,18225.00,2019-10-01 15:29:12.976467
20,2019100101003629,SLBSL,19,47,10,688,6880.00,2019-10-01 15:29:12.976467
21,2019100101003630,SHIVM,51,43,200,520,104000.00,2019-10-01 15:29:12.976467
22,2019100101003631,SABSL,34,58,10,459,4590.00,2019-10-01 15:29:12.976467
23,2019100101003632,SHIVM,51,41,100,520,52000.00,2019-10-01 15:29:12.976467
24,2019100101003633,ALBSL,39,58,10,433,4330.00,2019-10-01 15:29:12.976467
25,2019100101003634,NLIC,40,28,50,767,38350.00,2019-10-01 15:29:12.976467
26,2019100101003635,NLIC,28,28,300,767,230100.00,2019-10-01 15:29:12.976467
27,2019100101003636,NLIC,41,28,142,765,108630.00,2019-10-01 15:29:12.976467
28,2019100101003637,NLIC,32,28,100,765,76500.00,2019-10-01 15:29:12.976467
29,2019100101003638,SJCL,36,49,20,168,3360.00,2019-10-01 15:29:12.976467
30,2019100101003639,MDB,44,45,100,251,25100.00,2019-10-01 15:29:12.976467
31,2019100101003640,NMFBS,49,48,100,1666,166600.00,2019-10-01 15:29:12.976467
32,2019100101003641,MNBBL,1,54,17,308,5236.00,2019-10-01 15:29:12.976467
33,2019100101003642,MNBBL,14,54,483,308,148764.00,2019-10-01 15:29:12.976467
34,2019100101003643,SJCL,14,14,20,169,3380.00,2019-10-01 15:29:12.976467
35,2019100101003644,LBL,34,16,10,215,2150.00,2019-10-01 15:29:12.976467
36,2019100101003645,ALBSL,25,55,35,433,15155.00,2019-10-01 15:29:12.976467
37,2019100101003646,NLG,6,6,10,577,5770.00,2019-10-01 15:29:12.976467
38,2019100101003647,RHPL,52,44,2380,159,378420.00,2019-10-01 15:29:12.976467
39,2019100101003648,SABSL,39,16,10,460,4600.00,2019-10-01 15:29:12.976467
40,2019100101003649,RSDC,42,50,72,324,23328.00,2019-10-01 15:29:12.976467
41,2019100101003650,UPPER,10,6,100,236,23600.00,2019-10-01 15:29:12.976467
42,2019100101003651,UPPER,10,45,40,236,9440.00,2019-10-01 15:29:12.976467
43,2019100101003652,EBL,33,33,180,577,103860.00,2019-10-01 15:29:12.976467
44,2019100101003653,SLICL,33,1,10,277,2770.00,2019-10-01 15:29:12.976467
45,2019100101003654,SMFDB,5,50,37,511,18907.00,2019-10-01 15:29:12.976467
46,2019100101003655,EBL,6,33,160,577,92320.00,2019-10-01 15:29:12.976467
47,2019100101003656,NEF,6,10,600,7.52,4512.00,2019-10-01 15:29:12.976467
48,2019100101003657,NEF,22,10,160,7.52,1203.20,2019-10-01 15:29:12.976467
49,2019100101003658,NEF,11,10,2000,7.4,14800.00,2019-10-01 15:29:12.976467
50,2019100101003659,NEF,17,10,6000,7.33,43980.00,2019-10-01 15:29:12.976467
51,2019100101003660,NEF,13,10,91240,7.32,667876.80,2019-10-01 15:29:12.976467
52,2019100101003661,FMDBL,47,57,20,319,6380.00,2019-10-01 15:29:12.976467
53,2019100101003662,PLIC,45,16,88,329,28952.00,2019-10-01 15:29:12.976467
54,2019100101003663,PLIC,45,25,174,330,57420.00,2019-10-01 15:29:12.976467
55,2019100101003664,MBL,14,16,40,225,9000.00,2019-10-01 15:29:12.976467
56,2019100101003665,MBL,14,53,200,225,45000.00,2019-10-01 15:29:12.976467
57,2019100101003666,MBL,14,37,100,225,22500.00,2019-10-01 15:29:12.976467
